0,1,2,3,4,5
tt0362209,Jason Rosette,Jason Rosette,7.1,1h 25min,"Accompanied by her illegal immigrant companion, a woman desperate to clone her deceased child steals cash and heads across country in search of a maverick animal cloning expert who says he can help her."
tt0362822,Christopher Peditto,"Jonathan Lethem, Christopher Peditto",4.7,1h 10min,"Realism and fantasy collide in Jonathan Lethem's genre-bending coming-of-age story, which follows two estranged brothers as they try to leave New York City for a new life in California only to find their plans--and lives--being forever changed by the appearance of a mysterious alien. We follow Paul--fresh from dropping out of college and living unhappily at home with ... Leer todo"
tt0362691,Nate Thomas,"Danielle Porter, Jeffery Taylor, Deon Reid",4.2,1h 25min,The coming of age story about two brothers who struggle to mend their estranged relationship as their college campus gears up for a major Stepshow competition.
tt0368151,Jennifer Harper,"Dale Davis, Jennifer Harper",4.9,1h 28min,Cedric Tinsel (Allen Payne) is a 27-year-old professional basketball player. He is on a verge of signing a lucrative endorsment contract and proposing to his girlfriend Jill Hamlin (Chelsi Smith).
tt0368794,Todd Haynes,"Todd Haynes, Oren Moverman",6.8,2h 15min,
tt0367959,Peter Webber,Thomas Harris,6.1,2h 1min,
tt0372005,Ramzi Abed,Ramzi Abed,3.9,1h 39min,"A stark look at one of Hollywood's darkest mysteries, The Black Dalia (Elizabeth Short) Murder."
tt0369878,Morten Hartz Kaplers,"Allan Milter Jakobsen, Morten Hartz Kaplers",5.3,1h 23min,"A mockumentary where reality and fiction are combine to create drama. The director has deceived and manipulated leading world politicians, as well as politicians in his own country, for satirical effect."
tt0372873,Hyung-rae Shim,Hyung-rae Shim,3.5,1h 47min,
tt0370433,Roger Larry,"Roger Larry, Sandra Tomc",3.8,2007,"Fifteen years after he last saw him, Danny Cimmerman, a Toronto banker, comes back to Vancouver to say goodbye to his ethnic Croatian gangster father, John Cimmerman, who is on his death bed. Danny never approved of how his father made a living, the reason why Danny left town in the first place, and conversely John felt Danny was a disappointment. Regardless, John's d... Leer todo"
tt0370242,Marian Quinn,Marian Quinn,6.5,1h 29min,"This story is set in ""in-between"" time of a girl's life, when she is no longer a child and not yet a woman."
tt0371407,Silvana Vienne,Silvana Vienne,7.9,1h 36min,"a fun, entertaining comedy with a message for peace in the world."
